,2020,2019,2018,2017,2016
Çanakkale,5,2,1,4,2
Edirne,4,3,4,7,9
Ýzmir,1,3,1,1,1
Bursa,4,6,3,3,1
Kocaeli,5,3,6,1,3
Tekirdað,9,8,3,8,7
Kýrklareli,2,3,4,4,4
Balýkesir,2,0,1,0,1
Ýstanbul,49,48,50,51,52
Ankara,2,2,1,1,0
Manisa,2,2,0,0,1
yýllýk toplam,98,93,88,88,88
