1,AÇIK ÖĞRETİM LİSESİ (MERKEZE BAĞLI TAŞRA),13
2,TEKİRDAĞ ANADOLU LİSESİ (TEKİRDAĞ),7
3,EDİRNE YILDIRIM BEYAZIT ANADOLU LİSESİ (EDİRNE),7
4,ÇANAKKALE İBRAHİM BODUR ANADOLU LİSESİ (ÇANAKKALE),6
5,FLORYA TEVFİK ERCAN ANADOLU LİSESİ (İSTANBUL),6
6,KIRKLARELİ ANADOLU LİSESİ (KIRKLARELİ),6
7,MEVLANA ANADOLU LİSESİ (İSTANBUL),5
8,NAMIK KEMAL LİSESİ (TEKİRDAĞ),4
9,SUAT TERİMER ANADOLU LİSESİ (İSTANBUL),4
10,ÇATALCA ANADOLU LİSESİ (İSTANBUL),4
