,2020,2019,2018,2017,2016
Kiz-pc,23,22,30,22,21
Erkek-pc,75,71,58,66,67
toplam_kiz-pc,144,152,152,151,144
toplam_erkek-pc,518,510,510,457,435
Toplam-pc,662,662,662,608,579
mezun_sayisi-pc,91,109,87,82,97
mezun_erkek-pc,56,71,61,58,59
mezun_kiz-pc,35,38,26,24,38
fakulte_toplam,3075,3082,2843,2606,2386
okul_toplam(merkez),39150,38697,41198,40864,38561
Şehir toplam (merkez),180901,185408,180327,178910,173037
